problem_idx,generation_accuracy,selection_accuracy,selection_precision,selection_recall,selection_f1,selection_tp,selection_tn,selection_fp,selection_fn,insufficient_data
0,1.0,0,0.0,0.0,0.0,0,1,1,0,True
1,1.0,0,0.0,0.0,0.0,0,1,1,0,True
2,1.0,0,0.0,0.0,0.0,0,1,1,0,True
3,1.0,0,0.0,0.0,0.0,0,1,1,0,True
4,0.972,1,1.0,1.0,1.0,1,0,0,0,False
5,1.0,0,0.0,0.0,0.0,0,1,1,0,True
6,1.0,1,1.0,1.0,1.0,1,0,0,0,False
7,0.988,0,0.0,0.0,0.0,0,0,1,1,False
8,0.999,0,0.0,0.0,0.0,0,0,1,1,True
9,1.0,0,0.0,0.0,0.0,0,1,1,0,True
10,1.0,0,0.0,0.0,0.0,0,1,1,0,True
11,0.964,1,1.0,1.0,1.0,1,0,0,0,False
12,1.0,0,0.0,0.0,0.0,0,1,1,0,True
13,1.0,0,0.0,0.0,0.0,0,1,1,0,True
14,1.0,0,0.0,0.0,0.0,0,1,1,0,True
15,0.992,1,1.0,1.0,1.0,1,0,0,0,False
16,1.0,0,0.0,0.0,0.0,0,1,1,0,True
17,1.0,0,0.0,0.0,0.0,0,1,1,0,True
18,1.0,0,0.0,0.0,0.0,0,1,1,0,True
19,1.0,0,0.0,0.0,0.0,0,1,1,0,True
20,1.0,0,0.0,0.0,0.0,0,1,1,0,True
21,0.96,1,1.0,1.0,1.0,1,0,0,0,False
22,1.0,0,0.0,0.0,0.0,0,1,1,0,True
23,0.999,0,0.0,0.0,0.0,0,0,1,1,True
24,1.0,0,0.0,0.0,0.0,0,1,1,0,True
25,1.0,0,0.0,0.0,0.0,0,1,1,0,True
26,1.0,0,0.0,0.0,0.0,0,1,1,0,True
27,1.0,0,0.0,0.0,0.0,0,1,1,0,True
28,1.0,0,0.0,0.0,0.0,0,1,1,0,True
29,1.0,0,0.0,0.0,0.0,0,1,1,0,True
30,1.0,0,0.0,0.0,0.0,0,1,1,0,True
31,1.0,0,0.0,0.0,0.0,0,1,1,0,True
32,1.0,0,0.0,0.0,0.0,0,1,1,0,True
33,1.0,0,0.0,0.0,0.0,0,1,1,0,True
34,0.968,1,1.0,1.0,1.0,1,0,0,0,False
35,0.956,1,1.0,1.0,1.0,1,0,0,0,False
36,1.0,0,0.0,0.0,0.0,0,1,1,0,True
37,1.0,0,0.0,0.0,0.0,0,1,1,0,True
38,1.0,0,0.0,0.0,0.0,0,1,1,0,True
39,1.0,0,0.0,0.0,0.0,0,1,1,0,True
40,1.0,0,0.0,0.0,0.0,0,1,1,0,True
41,0.992,1,1.0,1.0,1.0,1,0,0,0,False
42,1.0,0,0.0,0.0,0.0,0,1,1,0,True
43,1.0,0,0.0,0.0,0.0,0,1,1,0,True
44,1.0,0,0.0,0.0,0.0,0,1,1,0,True
45,0.98,1,1.0,1.0,1.0,1,0,0,0,False
46,0.998,0,0.0,0.0,0.0,0,0,1,1,True
47,0.996,1,1.0,1.0,1.0,1,0,0,0,False
48,0.96,1,1.0,1.0,1.0,1,0,0,0,False
49,1.0,0,0.0,0.0,0.0,0,1,1,0,True
50,1.0,0,0.0,0.0,0.0,0,1,1,0,True
51,1.0,0,0.0,0.0,0.0,0,1,1,0,True
52,1.0,0,0.0,0.0,0.0,0,1,1,0,True
53,1.0,0,0.0,0.0,0.0,0,1,1,0,True
54,1.0,0,0.0,0.0,0.0,0,1,1,0,True
55,1.0,0,0.0,0.0,0.0,0,1,1,0,True
56,0.948,1,1.0,1.0,1.0,1,0,0,0,False
57,1.0,0,0.0,0.0,0.0,0,1,1,0,True
58,1.0,0,0.0,0.0,0.0,0,1,1,0,True
59,1.0,0,0.0,0.0,0.0,0,1,1,0,True
60,1.0,0,0.0,0.0,0.0,0,1,1,0,True
61,0.832,1,1.0,1.0,1.0,1,0,0,0,False
62,0.976,1,1.0,1.0,1.0,1,0,0,0,False
63,0.976,1,1.0,1.0,1.0,1,0,0,0,False
64,1.0,0,0.0,0.0,0.0,0,1,1,0,True
65,1.0,0,0.0,0.0,0.0,0,1,1,0,True
66,1.0,0,0.0,0.0,0.0,0,1,1,0,True
67,1.0,0,0.0,0.0,0.0,0,1,1,0,True
68,1.0,0,0.0,0.0,0.0,0,1,1,0,True
69,0.932,1,1.0,1.0,1.0,1,0,0,0,False
70,1.0,0,0.0,0.0,0.0,0,1,1,0,True
71,1.0,0,0.0,0.0,0.0,0,1,1,0,True
72,1.0,0,0.0,0.0,0.0,0,1,1,0,True
73,0.998,0,0.0,0.0,0.0,0,0,1,1,True
74,1.0,0,0.0,0.0,0.0,0,1,1,0,True
75,1.0,0,0.0,0.0,0.0,0,1,1,0,True
76,1.0,0,0.0,0.0,0.0,0,1,1,0,True
77,0.964,0,0.0,0.0,0.0,0,0,1,1,False
78,1.0,0,0.0,0.0,0.0,0,1,1,0,True
79,1.0,0,0.0,0.0,0.0,0,1,1,0,True
80,1.0,0,0.0,0.0,0.0,0,1,1,0,True
81,1.0,1,1.0,1.0,1.0,1,0,0,0,False
82,1.0,0,0.0,0.0,0.0,0,1,1,0,True
83,0.976,1,1.0,1.0,1.0,1,0,0,0,False
84,1.0,0,0.0,0.0,0.0,0,1,1,0,True
85,0.984,0,0.0,0.0,0.0,0,0,1,1,False
86,1.0,0,0.0,0.0,0.0,0,1,1,0,True
87,1.0,0,0.0,0.0,0.0,0,1,1,0,True
88,1.0,0,0.0,0.0,0.0,0,1,1,0,True
89,1.0,0,0.0,0.0,0.0,0,1,1,0,True
90,1.0,0,0.0,0.0,0.0,0,1,1,0,True
91,1.0,0,0.0,0.0,0.0,0,1,1,0,True
92,1.0,0,0.0,0.0,0.0,0,1,1,0,True
93,1.0,0,0.0,0.0,0.0,0,1,1,0,True
94,1.0,0,0.0,0.0,0.0,0,1,1,0,True
95,1.0,1,1.0,1.0,1.0,1,0,0,0,False
96,0.916,1,1.0,1.0,1.0,1,0,0,0,False
97,0.984,0,0.0,0.0,0.0,0,0,1,1,False
98,1.0,0,0.0,0.0,0.0,0,1,1,0,True
99,1.0,0,0.0,0.0,0.0,0,1,1,0,True
100,1.0,0,0.0,0.0,0.0,0,1,1,0,True
101,0.999,0,0.0,0.0,0.0,0,0,1,1,True
102,0.999,0,0.0,0.0,0.0,0,0,1,1,True
103,1.0,0,0.0,0.0,0.0,0,1,1,0,True
104,1.0,0,0.0,0.0,0.0,0,1,1,0,True
105,1.0,0,0.0,0.0,0.0,0,1,1,0,True
106,1.0,0,0.0,0.0,0.0,0,1,1,0,True
107,1.0,0,0.0,0.0,0.0,0,1,1,0,True
108,1.0,0,0.0,0.0,0.0,0,1,1,0,True
109,1.0,0,0.0,0.0,0.0,0,1,1,0,True
110,1.0,0,0.0,0.0,0.0,0,1,1,0,True
111,0.972,1,1.0,1.0,1.0,1,0,0,0,False
112,1.0,0,0.0,0.0,0.0,0,1,1,0,True
113,1.0,0,0.0,0.0,0.0,0,1,1,0,True
114,1.0,0,0.0,0.0,0.0,0,1,1,0,True
115,1.0,0,0.0,0.0,0.0,0,1,1,0,True
116,1.0,0,0.0,0.0,0.0,0,1,1,0,True
117,1.0,0,0.0,0.0,0.0,0,1,1,0,True
118,1.0,1,1.0,1.0,1.0,1,0,0,0,False
119,0.964,1,1.0,1.0,1.0,1,0,0,0,False
120,1.0,0,0.0,0.0,0.0,0,1,1,0,True
121,0.999,0,0.0,0.0,0.0,0,0,1,1,True
122,1.0,0,0.0,0.0,0.0,0,1,1,0,True
123,1.0,0,0.0,0.0,0.0,0,1,1,0,True
124,0.932,1,1.0,1.0,1.0,1,0,0,0,False
125,1.0,0,0.0,0.0,0.0,0,1,1,0,True
126,0.997,0,0.0,0.0,0.0,0,0,1,1,True
127,1.0,0,0.0,0.0,0.0,0,1,1,0,True
128,1.0,0,0.0,0.0,0.0,0,1,1,0,True
129,0.992,1,1.0,1.0,1.0,1,0,0,0,False
130,1.0,0,0.0,0.0,0.0,0,1,1,0,True
131,1.0,0,0.0,0.0,0.0,0,1,1,0,True
132,0.992,1,1.0,1.0,1.0,1,0,0,0,False
133,0.996,0,0.0,0.0,0.0,0,0,1,1,False
134,1.0,0,0.0,0.0,0.0,0,1,1,0,True
135,1.0,0,0.0,0.0,0.0,0,1,1,0,True
136,0.976,1,1.0,1.0,1.0,1,0,0,0,False
137,1.0,0,0.0,0.0,0.0,0,1,1,0,True
138,1.0,0,0.0,0.0,0.0,0,1,1,0,True
139,1.0,0,0.0,0.0,0.0,0,1,1,0,True
