selection_accuracy,selection_precision,selection_recall,selection_tp,selection_tn,selection_fp,selection_fn,generation_accuracy,selection_f1,train_percentage
0.10714285714285714,0.10714285714285714,0.375,15,100,125,25,0.9550693550693551,0.16666666666666666,0.001
0.12142857142857143,0.12142857142857143,0.425,17,100,123,23,0.9655266955266956,0.1888888888888889,0.01
0.12857142857142856,0.12857142857142856,0.45,18,100,122,22,0.9777380952380952,0.19999999999999998,0.1
0.15,0.15,0.5833333333333334,21,104,119,15,0.984295918367347,0.23863636363636365,0.3
0.15714285714285714,0.15714285714285714,0.6285714285714286,22,105,118,13,0.9868857142857143,0.2514285714285714,0.5
0.17142857142857143,0.17142857142857143,0.75,24,108,116,8,0.9876190476190476,0.2790697674418604,0.7
