train_generation_accuracy,train_selection_accuracy,train_selection_precision,train_selection_recall,train_selection_f1,train_selection_tp,train_selection_tn,train_selection_fp,train_selection_fn,train_selection@10,train_selection@25,generation_accuracy,selection_accuracy,selection_precision,selection_recall,selection_f1,selection_tp,selection_tn,selection_fp,selection_fn,selection@10,selection@25,train_percentage,model
0.9930714285714286,0.20714285714285716,0.20714285714285716,0.20714285714285716,0.20714285714285716,29,109,111,2,0.21428571428571427,0.22142857142857142,0.9756507936507937,0.1357142857142857,0.1357142857142857,0.1357142857142857,0.1357142857142857,19,100,121,21,0.17857142857142858,0.21428571428571427,0.1,"MLPClassifier(hidden_layer_sizes=(100, 50), max_iter=1000, random_state=42)"
0.9970476190476191,0.2571428571428571,0.2571428571428571,0.2571428571428571,0.2571428571428571,36,103,104,1,0.2642857142857143,0.2642857142857143,0.9841530612244898,0.15,0.15,0.15,0.15,21,104,119,15,0.19285714285714287,0.22142857142857142,0.3,"MLPClassifier(hidden_layer_sizes=(100, 50), max_iter=1000, random_state=42)"
0.9980142857142857,0.2714285714285714,0.2714285714285714,0.2714285714285714,0.2714285714285714,38,101,102,1,0.2785714285714286,0.2785714285714286,0.9863142857142857,0.17142857142857143,0.17142857142857143,0.17142857142857143,0.17142857142857143,24,105,116,11,0.21428571428571427,0.22142857142857142,0.5,"MLPClassifier(hidden_layer_sizes=(100, 50), max_iter=1000, random_state=42)"
0.9970204081632653,0.2714285714285714,0.2714285714285714,0.2714285714285714,0.2714285714285714,38,100,102,2,0.2857142857142857,0.2857142857142857,0.9892380952380952,0.18571428571428572,0.18571428571428572,0.18571428571428572,0.18571428571428572,26,108,114,6,0.20714285714285716,0.21428571428571427,0.7,"MLPClassifier(hidden_layer_sizes=(100, 50), max_iter=1000, random_state=42)"
