train_generation_accuracy,train_selection_accuracy,train_selection_precision,train_selection_recall,train_selection_f1,train_selection_tp,train_selection_tn,train_selection_fp,train_selection_fn,train_selection@25,train_selection@10,generation_accuracy,selection_accuracy,selection_precision,selection_recall,selection_f1,selection_tp,selection_tn,selection_fp,selection_fn,selection@25,selection@10,train_percentage,model
1.0,0.2,0.2,0.2,0.2,18,72,72,0,0.2,0.2,0.9453086419753086,0.17777777777777778,0.17777777777777778,0.17777777777777778,0.17777777777777778,16,62,74,12,0.26666666666666666,0.24444444444444444,0.1,"MLPClassifier(hidden_layer_sizes=(100, 50), max_iter=1000, random_state=42)"
0.9962962962962963,0.25555555555555554,0.25555555555555554,0.25555555555555554,0.25555555555555554,23,67,67,0,0.25555555555555554,0.25555555555555554,0.95,0.18888888888888888,0.18888888888888888,0.18888888888888888,0.18888888888888888,17,62,73,11,0.26666666666666666,0.2222222222222222,0.3,"MLPClassifier(hidden_layer_sizes=(100, 50), max_iter=1000, random_state=42)"
0.9995555555555555,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,24,66,66,0,0.26666666666666666,0.26666666666666666,0.9484444444444444,0.15555555555555556,0.15555555555555556,0.15555555555555556,0.15555555555555556,14,63,76,13,0.25555555555555554,0.2,0.5,"MLPClassifier(hidden_layer_sizes=(100, 50), max_iter=1000, random_state=42)"
0.9966666666666667,0.28888888888888886,0.28888888888888886,0.28888888888888886,0.28888888888888886,26,64,64,0,0.28888888888888886,0.28888888888888886,0.9511111111111111,0.15555555555555556,0.15555555555555556,0.15555555555555556,0.15555555555555556,14,68,76,8,0.24444444444444444,0.2111111111111111,0.7,"MLPClassifier(hidden_layer_sizes=(100, 50), max_iter=1000, random_state=42)"
