selection_accuracy,selection_precision,selection_recall,selection_tp,selection_tn,selection_fp,selection_fn,generation_accuracy,selection_f1,train_percentage
0.46,0.46,0.46464646464646464,46,1,54,53,0.6930530530530531,0.4623115577889447,0.001
0.49,0.49,0.494949494949495,49,1,51,50,0.7441818181818182,0.4924623115577889,0.01
0.57,0.57,0.5816326530612245,57,2,43,41,0.7812111111111111,0.5757575757575758,0.1
0.55,0.55,0.5612244897959183,55,2,45,43,0.8050142857142857,0.5555555555555555,0.3
0.62,0.62,0.6326530612244898,62,2,38,36,0.8145,0.6262626262626263,0.5
0.63,0.63,0.6494845360824743,63,3,37,34,0.8150666666666667,0.6395939086294417,0.7
