generation_accuracy,selection_accuracy,selection_precision,selection_recall,selection_f1,selection_tp,selection_tn,selection_fp,selection_fn,total_problems,insufficient_data_problems,train_percentage
0.9929142857142855,0.17857142857142858,0.17857142857142858,0.17857142857142858,0.17857142857142858,25,103,115,12,140,108,0.1
0.9930571428571427,0.19285714285714287,0.19285714285714287,0.19285714285714287,0.19285714285714287,27,100,113,13,140,108,0.3
0.9925142857142857,0.20714285714285716,0.20714285714285716,0.20714285714285716,0.20714285714285716,29,100,111,11,140,108,0.5
0.9925142857142857,0.20714285714285716,0.20714285714285716,0.20714285714285716,0.20714285714285716,29,100,111,11,140,108,0.7
