generation_accuracy,selection_accuracy,selection_precision,selection_recall,selection_f1,selection_tp,selection_tn,selection_fp,selection_fn,train_percentage,model
0.9778968253968254,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,20,100,120,20,0.1,"MLPClassifier(hidden_layer_sizes=(100, 50), max_iter=1000, random_state=42)"
0.9837857142857143,0.16428571428571428,0.16428571428571428,0.16428571428571428,0.16428571428571428,23,104,117,13,0.3,"MLPClassifier(hidden_layer_sizes=(100, 50), max_iter=1000, random_state=42)"
0.9859571428571429,0.16428571428571428,0.16428571428571428,0.16428571428571428,0.16428571428571428,23,105,117,12,0.5,"MLPClassifier(hidden_layer_sizes=(100, 50), max_iter=1000, random_state=42)"
0.9851190476190477,0.16428571428571428,0.16428571428571428,0.16428571428571428,0.16428571428571428,23,108,117,9,0.7,"MLPClassifier(hidden_layer_sizes=(100, 50), max_iter=1000, random_state=42)"
