generation_accuracy,selection_accuracy,selection_precision,selection_recall,selection_f1,selection_tp,selection_tn,selection_fp,selection_fn,total_problems,insufficient_data_problems,train_percentage
0.992,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,10,69,80,11,90,72,0.1
0.9868888888888889,0.15555555555555556,0.15555555555555556,0.15555555555555556,0.15555555555555556,14,62,76,14,90,72,0.3
0.9844444444444443,0.15555555555555556,0.15555555555555556,0.15555555555555556,0.15555555555555556,14,62,76,14,90,72,0.5
0.9844444444444443,0.15555555555555556,0.15555555555555556,0.15555555555555556,0.15555555555555556,14,62,76,14,90,72,0.7
